心口不一	xīn kǒu bù yī
无大不大	wú dà bù dà
无一不知	wú yī bù zhī
言行不一	yán xíng bù yī
不日不月	bù rì bù yuè
无人之地	wú rén zhī dì
一天一地	yī tiān yī dì
不言不语	bù yán bù yǔ
一心一意	yī xīn yī yì
无天无日	wú tiān wú rì
不正之风	bù zhèng zhī fēng
不得人心	bù dé rén xīn
不声不气	bù shēng bù qì
人心不古	rén xīn bù gǔ
一言不发	yī yán bù fā
不上不下	bù shàng bù xià
一言一行	yī yán yī xíng
知无不言	zhī wú bù yán
不食之地	bù shí zhī dì
不三不四	bù sān bù sì
不一而足	bù yī ér   zú
一心一力	yī xīn yī lì
不识之无	bù shí zhī wú
天不绝人	tiān bù jué rén
不明不白	bù míng bù bái
一心一计	yī xīn yī jì
心口如一	xīn kǒu rú yī
不上不落	bù shàng bù luò
一德一心	yī dé yī xīn
一心一德	yī xīn yī dé
不见天日	bù jiàn tiān rì
一家之言	yī jiā zhī yán
不名一文	bù míng yī wén
一文不名	yī wén bù míng
一人之交	yī rén zhī jiāo
一日之长	yī rì zhī zhǎng
言无不尽	yán wú bù jìn
不可一世	bù kě yī shì
无所不有	wú suǒ bù yǒu
无所不为	wú suǒ bù wéi
无恶不为	wú è bù wéi
无可不可	wú kě bù kě
一生一世	yī shēng yī shì
一事不知	yī shì bù zhī
有天无日	yǒu tiān wú rì
一心一路	yī xīn yī lù
一心无二	yī xīn wú èr
不毛之地	bù máo zhī dì
人不自安	rén bù zì ān
有口无心	yǒu kǒu wú xīn
一死一生	yī sǐ yī shēng
百无一成	bǎi wú yī chéng
不当不正	bù dāng bù zhèng
一心一腹	yī xīn yī fù
百不失一	bǎi bù shī yī
不世之功	bù shì zhī gōng
不臣之心	bù chén zhī xīn
人心如面	rén xīn rú miàn
言之无物	yán zhī wú wù
有一得一	yǒu yī dé yī
不文不武	bù wén bù wǔ
万不失一	wàn bù shī yī
百不当一	bǎi bù dāng yī
人事不知	rén shì bù zhī
一成不变	yī chéng bù biàn
一成不易	yī chéng bù yì
无所不可	wú suǒ bù kě
一事无成	yī shì wú chéng
文人无行	wén rén wú xíng
不生不灭	bù shēng bù miè
风行一世	fēng xíng yī shì
不败之地	bù bài zhī dì
一物不知	yī wù bù zhī
一口一声	yī kǒu yī shēng
无大无小	wú dà wú xiǎo
不识不知	bù shí bù zhī
无所不知	wú suǒ bù zhī
天大地大	tiān dà dì dà
无千无万	wú qiān wú wàn
大得人心	dà dé rén xīn
不古不今	bù gǔ bù jīn
不今不古	bù jīn bù gǔ
无相无作	wú xiāng wú zuò
一无所有	yī wú suǒ yǒu
不以为意	bù yǐ wéi yì
同心一意	tóng xīn yī yì
不破不立	bù può bù lì
无一不备	wú yī bù bèi
无法无天	wú fǎ wú tiān
有心无力	yǒu xīn wú lì
无所不作	wú suǒ bù zuò
无恶不作	wú è bù zuò
无奇不有	wú qí bù yǒu
不直一文	bù zhí yī wén
风行一时	fēng xíng yī shī
一虎不河	yī hǔ bù hé
求之不得	qiú zhī bù dé
上下一心	shàng xià yī xīn
一得之见	yī dé zhī jiàn
一无所成	yī wú suǒ chéng
百世一人	bǎi shì yī rén
一家一火	yī jiā yī huǒ
人中之龙	rén zhōng zhī lóng
天地不容	tiān dì bù róng
不以为然	bù yǐ wéi rán
一家之作	yī jiā zhī zuò
一手一足	yī shǒu yī zú
人山人海	rén shān rén hǎi
目中无人	mù zhōng wú rén
千人一面	qiān rén yī miàn
金玉之言	jīn yù zhī yán
无为而成	wú wéi ér chéng
心上心下	xīn shàng xīn xià
天下一家	tiān xià yī jiā
大难不死	dà nàn bù sǐ
一言千金	yī yán qiān jīn
不经之语	bù jīng zhī yǔ
世道人心	shì dào rén xīn
如出一口	rú chū yī kǒu
出头之日	chū tóu zhī rì
不死不活	bù sǐ bù huó
一无所长	yī wú suǒ cháng
不闻不问	bù wén bù wèn
不问不闻	bù wèn bù wén
来之不易	lái zhī bù yì
口不应心	kǒu bù yìng xīn
心不应口	xīn bù yīng kǒu
生而知之	shēng ér zhī zhī
同心一力	tóng xīn yī lì
有口无行	yǒu kǒu wú xíng
水天一色	shuǐ tiān yī sè
百无一失	bǎi wú yī shī
人千人万	rén qiān rén wàn
有一无二	yǒu yī wú èr
长生不死	cháng shēng bū sǐ
不绝如发	bù jué rú fà
无所不通	wú suǒ bù tōng
出一头地	chū yī tóu dì
不相上下	bù xiāng shàng xià
一无长物	yī wú cháng wù
万无一失	wàn wú yī shī
不当人子	bù dāng rén zǐ
不知高下	bù zhī gāo xià
知人之明	zhī rén zhī míng
不足为意	bù zú wéi yì
无为自成	wú wéi zì chéng
头一无二	tóu yī wú èr
力不从心	lì bù cóng xīn
无声无色	wú shēng wú sè
不仁不义	bù rén bù yì
无情无义	wú qíng wú yì
一日三月	yī rì sān yuè
无空不入	wú kōng bù rù
一家之计	yī jiā zhī jì
一无所知	yī wú suǒ zhī
言行若一	yán xíng ruò yī
以意为之	yǐ yì wéi zhī
风言风语	fēng yán fēng yǔ
春风风人	chūn fēng fèng rén
成人之善	chéng rén zhī shàn
有文无行	yǒu wén wú xíng
言不顾行	yán bù gù xíng
一心同功	yī xīn tóng gōng
不得而知	bù dé ér zhī
无所不能	wú suǒ bù néng
一面之交	yī miàn zhī jiāo
有心有意	yǒu xīn yǒu yì
无万大千	wú wàn dà qiān
无所不在	wú suǒ bù zài
语不惊人	yǔ bù jīng rèn
成一家言	chěng yī jiān yán
一家一计	yī jiā yī jì
一得之功	yī dé zhī gōng
不世之业	bù shì zhī yè
不知所言	bù zhī suǒ yán
言为心声	yán wéi xīn shēng
不经之说	bù jīng zhī shuō
一长一短	yī cháng yī duǎn
言不尽意	yán bù jìn yì
万众一心	wàn zhòng yī xīn
手不应心	shǒu bù yīng xīn
百无一能	bǎi wú yī néng
不易之论	bù yì zhī lùn
文风不动	wén fēng bù dòng
不言而信	bù yán ér xìn
言而不信	yán ér bù xìn
言之有物	yán zhī yǒu wù
十不当一	shí bù huò yī
风雨不改	fēng yǔ bù gǎi
一无所得	yī wú suǒ dé
心神不定	xīn shén bù dìng
天道人事	tiān dào rén shì
风风雨雨	fēng fēng yǔ yǔ
金石之言	jīn shí zhī yán
可心如意	kě xīn rú yì
日出不穷	rì chū bù qióng
无如之何	wú rú zhī hé
