大败亏输	dà bài kuī shū
醉舞狂歌	zuì wǔ kuáng gē
借交报仇	jiè jiāo bào chóu
捐身徇义	juān shēn xùn yì
东扯西拽	dōng chě xī zhuāi
孺子可教	rú zǐ kě jiào
望梅阁老	wàng méi gé lǎo
驾肩接迹	jià jiān jiē jì
暴敛横征	bào liǎn héng zhēng
横征暴敛	héng zhēng bào liǎn
红绳系足	hóng shéng jì zú
引狗入寨	yǐn gǒu rù zhai
弄管调弦	nòng guǎn diào xián
洞察其奸	dòng chá qí jiān
鸡飞蛋打	jī fēi dàn dǎ
囚首丧面	qiú shǒu sàng miàn
待字闺中	dài zì guī zhōng
金镳玉辔	jīn biāo yù pèi
谢家宝树	xiè jiā bǎo shù
肥头胖耳	féi tóu pàng ěr
选兵秣马	xuǎn bīng mò mǎ
推亡固存	tuī wáng gù cún
负乘斯夺	fù chéng sī duó
简截了当	jiǎn jié liǎo dàng
穿凿附会	chuān záo fù huì
附会穿凿	fù huì chuān záo
屡试不爽	lǚ shì bù shuǎng
否极泰回	pǐ jí tài huí
揭竿而起	jiē gān ér qǐ
剥极将复	bō jí jiāng fù
郢书燕说	yǐng shū yān shuō
披裘带索	pī qiú dài suǒ
褎如充耳	yòu rú chōng ěr
掩瑕藏疾	yǎn xiá cáng jí
矫情饰貌	jiǎo qíng shì mào
虎体熊腰	hǔ tǐ xióng yāo
左书右息	zuǒ shū yòu xī
极深研几	jí shēn yán jī
既得利益	jì dé lì yì
褒衣危冠	bāo yī wēi guān
高文典册	gāo wén diǎn cè
矫世励俗	jiǎo shì lì sú
语笑喧呼	yǔ xiào xuān hū
昼想夜梦	zhòu xiǎng yè mèng
分我杯羹	fēn wǒ bēi gēng
刻肌刻骨	kè jī kè gǔ
屠所牛羊	tú suǒ niú yáng
红杏出墙	hóng xìng chū qiáng
酒酣耳热	jiǔ hān ěr rè
旧瓶新酒	jiù píng xīn jiǔ
日中必湲	rì zhōng bì tóng
心慵意懒	xīn yōng yì lǎn
意懒心慵	yì lǎn xīn yōng
沥胆抽肠	lì dǎn chōu cháng
唇焦舌敝	chún jiāo shé bì
焦唇敝舌	jiāo chún bì shé
舌敝唇焦	shé bì chún jiāo
持危扶颠	chí wēi fú diān
扶颠持危	fú diān chí wēi
扶危持颠	fú wēi chí diān
话里带刺	huà lǐ dài cì
大展经纶	dà zhǎn jīng lún
再生父母	zài shēng fù mǔ
兼葭秋水	jiān jiā qiū shuǐ
辱国殃民	rǔ guó yāng mín
刳形去皮	kū xíng qù pí
太仓一粟	tài cāng yī sù
持禄养交	chí lù yǎng jiāo
楚才晋用	chǔ cái jìn yòng
遵而勿失	zūn ér wù shī
床笫之私	chuáng dì zhī sī
虫臂鼠肝	chóng bì shǔ gān
鼠肝虫臂	shǔ gān chóng bì
安安稳稳	ān ān wěn wěn
片鳞碎甲	piàn lín suì jiǎ
狗续金貂	gǒu xù jīn diāo
民怨沸腾	mín yuàn fèi téng
众喣飘山	zhòng xǔ piāo shān
闭明塞聪	bì míng sè cōng
瞋目切齿	chēn mù qiè chǐ
坐于涂炭	zuò yú tú tàn
寂天寞地	jì tiān mò dì
酒肉朋友	jiǔ ròu péng yǒu
迟眉钝眼	chí méi dùn yǎn
苍黄翻覆	cāng huáng fān fù
枪林刀树	qiāng lín dāo shù
如持左券	rú chí zuǒ quàn
靠天吃饭	kào tiān chī fàn
按堵如故	àn dǔ rú gù
拜赐之师	bài cì zhī shī
鸮鸟生翼	qīng niǎo shēng yì
鸿泥雪爪	hóng ní xuě zhǎo
鸿爪雪泥	hóng zhǎo xuě ní
雪泥鸿爪	xuě ní hóng zhǎo
朝成暮徧	cháo chéng mù shí
潜移默夺	qián yí mò duó
倩人捉刀	qiàn rén zhuō dāo
因势利导	yīn shì lì dǎo
黄旗紫盖	huáng qí zǐ gài
颠倒干坤	diān dǎo gàn kūn
四衢八街	sì qú bā jiē
青蝇点素	qīng yíng diǎn sù
自讨没趣	zì tǎo méi qù
九洲四海	jiǔ zhōu sì hǎi
敬老怜贫	jìng lǎo lián pín
怜贫敬老	lián pín jìng lǎo
砺戈秣马	lì gē mò mǎ
硬语盘空	yìng yǔ pán kōng
东观续史	dōng guān xù shǐ
弓影浮杯	gōng yǐng fú bēi
骏波虎浪	jùn bō hǔ làng
马迹蛛丝	mǎ jì zhū sī
蛛丝马迹	zhū sī mǎ jì
分鞋破镜	fēn xié pò jìng
村夫野老	cūn fū yě lǎo
面折廷争	miàn zhé tíng zhēng
廷争面折	tíng zhēng miàn zhé
兰艾同焚	lán ài tóng fén
翻黄倒皂	fān huáng dǎo zào
爱礼存羊	ài lǐ cún yáng
别具只眼	bié jù zhī yǎn
粗衣粝食	cū yī lì shí
粝食粗衣	lì shí cū yī
取精用宏	qǔ jīng yòng hóng
颠沛流离	diān pèi liú lí
