derivation,example,explanation,pinyin,word,abbreviation,pinyin_r,first,last
鲁迅《我的第一个师父》这和名孩子为阿猫阿狗，完全是一样的意思容易养大。”,在德国无论～见面，一律互相举手高喊希特勒万岁”。★邹韬奋《法西斯作风的罪恶》,旧时人们常用的小名。引申为任何轻贱的，不值得重视的人或著作。,ā māo ā gǒu,阿猫阿狗,amag,a mao a gou,a,gou
《二程全书·伊川易传一》周之与否在君而已，不可阿谀奉迎求其比己也。”,其时京师有一流棍，名叫李光，专一～，谄事令孜。★明·凌濛初《初刻拍案惊奇》卷二十二,阿谀用言语恭维别人；逢迎迎合别人的心意。奉承，拍马，讨好别人。,ē yú féng yíng,阿谀逢迎,eyfy,e yu feng ying,e,ying
明·东鲁古狂生《醉醒石》第八回他却小器易盈，况且是个小人，在人前不过一味阿谀奉承。”,无,阿谀用言语恭维别人；奉承恭维，讨好。曲从拍马，迎合别人，竭力向人讨好。,ē yú fèng chéng,阿谀奉承,eyfc,e yu feng cheng,e,cheng
《诗经·小雅·鸿雁》鸿雁于飞，哀鸣嗷嗷。”,我记得历史上的罗马何等殷阗繁盛，怎么今日却是～，春燕无归，满眼凄惶。★清·梁启超《新罗马》,哀鸿哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。,āi hóng biàn yě,哀鸿遍野,ahby,ai hong bian ye,ai,ye
明·凌濛初《二刻拍案惊奇》卷三十八终日价没心没想，哀声叹气。”,我看你脸上一团私欲愁闷气色！这会子又～，你那些还不足，还不自在？★清·曹雪芹《红楼梦》第三十三回,因伤感郁闷或悲痛而发出叹息的声音。,āi shēng tàn qì,唉声叹气,astq,ai sheng tan qi,ai,qi
老舍《四世同堂》七四自从他作了副县长，随着白巡长挨家挨户地收铜铁，他的美誉便降落了许多。”,无,每家每户，户户不漏。挨，依次，顺次。,āi ji āi hù,挨家挨户,ajah,ai ji ai hu,ai,hu
南朝·梁·萧统《陶渊明集序》余爱嗜其文，不能释手。”,虽是不合他的路数，可奈文有定评，他看了也知道～。★清·文康《儿女英雄传》第三十五回,释放下。喜爱得舍不得放手。,ài bù shì shǒu,爱不释手,abss,ai bu shi shou,ai,shou
《诗经·大雅·焌民》维仲山甫举之，爱莫助之。”,收到各处的回信，只是写些～”之类的抱歉话。★叶圣陶《得失》,爱爱惜；莫不。虽然心中关切同情，却没有力量帮助。,ài mò néng zhù,爱莫能助,amnz,ai mo neng zhu,ai,zhu
《尚书大传·大战》爱人者，兼其屋上之乌。”,子存宠上了小老婆，未免～”，把他也看得同上客一般。★清·吴趼人《二十年目睹之怪现状》第十四回,因为爱一个人而连带爱他屋上的乌鸦。比喻爱一个人而连带地关心到与他有关的人或物。,ài wū jí wū,爱屋及乌,awjw,ai wu ji wu,ai,wu
汉·刘向《说苑·杂言》夫君子爱口，孔雀爱羽，虎豹爱爪，此皆所以治身法也。”,灰鹤与他都是高傲的，～的，而他与它们的高傲只是一种姿态而已，没有用，没有任何的用。★老舍《四世同堂》五十,羽毛比喻人的声望。比喻为珍惜自己的名声，行事十分谨慎。,ài xī yǔ máo,爱惜羽毛,axym,ai xi yu mao,ai,mao
